frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
36,car,0.45,,1382,325,1438,365,,0.45,right
36,car,0.4,,1388,323,1456,372,,0.4,right
36,car,0.39,,1426,323,1505,379,,0.39,right
36,car,0.38,,1218,320,1250,343,,0.38,right
36,car,0.35,,1460,323,1513,381,,0.35,right
36,car,0.35,,1369,328,1399,365,,0.35,right
36,car,0.33,,1422,324,1477,378,,0.33,right
36,car,0.33,,999,306,1064,343,,0.33,right
36,car,0.31,,1155,309,1211,351,,0.31,right
36,car,0.29,,1195,318,1236,347,,0.29,right
36,person,0.28,,280,332,394,441,,0.28,left
37,car,0.94,,1,243,575,955,,0.94,left
37,car,0.77,,1052,311,1168,394,,0.77,right
37,car,0.69,,1308,327,1376,368,,0.69,right
37,person,0.52,,503,263,555,456,,0.52,left
37,car,0.45,,1382,326,1438,364,,0.45,right
37,car,0.4,,1388,323,1452,371,,0.4,right
37,car,0.39,,1218,320,1249,342,,0.39,right
37,car,0.38,,1427,323,1505,379,,0.38,right
37,person,0.35,,159,332,293,455,,0.35,left
37,car,0.35,,1461,323,1513,381,,0.35,right
37,car,0.34,,1372,327,1402,364,,0.34,right
37,car,0.34,,997,304,1061,339,,0.34,right
37,car,0.32,,1424,324,1475,378,,0.32,right
37,car,0.31,,1155,309,1209,351,,0.31,right
37,car,0.31,,1303,324,1335,359,,0.31,right
37,car,0.3,,1194,317,1234,346,,0.3,right
38,car,0.95,,1,241,521,957,,0.95,left
38,car,0.76,,1049,310,1169,395,,0.76,right
38,person,0.74,,503,261,557,438,,0.74,left
38,car,0.68,,1308,326,1375,367,,0.68,right
38,person,0.66,,409,286,465,427,,0.66,left
38,car,0.44,,1382,326,1438,364,,0.44,right
38,car,0.42,,1149,307,1210,353,,0.42,right
38,car,0.41,,1218,319,1249,342,,0.41,right
38,car,0.39,,1369,327,1401,363,,0.39,right
38,car,0.39,,1389,323,1451,371,,0.39,right
38,car,0.38,,1427,323,1507,379,,0.38,right
38,person,0.38,,501,248,579,439,,0.38,left
38,car,0.37,,1461,323,1513,381,,0.37,right
38,car,0.34,,996,305,1062,339,,0.34,right
38,car,0.32,,1425,324,1475,378,,0.32,right
38,car,0.28,,1195,316,1234,347,,0.28,right
39,car,0.94,,0,256,431,956,,0.94,left
39,person,0.8,,411,284,468,433,,0.8,left
39,car,0.79,,1045,309,1165,395,,0.79,right
39,person,0.79,,505,264,559,439,,0.79,left
39,car,0.68,,1307,326,1372,368,,0.68,right
39,car,0.47,,1151,306,1208,351,,0.47,right
39,car,0.47,,1384,326,1436,363,,0.47,right
39,car,0.42,,1367,326,1399,362,,0.42,right
