frame,license_plate,detected
568,B2867KH2,Yes
569,R2867KHZ,Yes
570,2867KHZ,Yes
571,2867KHZ,Yes
572,2867KHZ,Yes
573,B2867KH2,Yes
574,B2867KHZ,Yes
575,B2867KHZ,Yes
576,B2867KH2,Yes
577,82867KHZ,Yes
578,2867KHZ,Yes
579,82867KH7,Yes
580,R2867KHZ,Yes
581,R2867KHZ,Yes
582,R2867KHZ,Yes
583,R2867KHZ,Yes
584,R2867KHZ,Yes
585,R2867KHZ,Yes
586,82867KHZ,Yes
587,82867KHZ,Yes
588,82867KHZ,Yes
