frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
81,car,0.88,,271,165,472,302,,0.88,right
81,car,0.79,,524,217,639,314,,0.79,right
81,car,0.46,,550,164,639,231,,0.46,right
81,person,0.34,,81,191,91,216,,0.34,left
81,person,0.29,,69,193,79,216,,0.29,left
82,car,0.89,,270,165,472,301,,0.89,right
82,car,0.65,,522,162,639,313,,0.65,right
82,car,0.55,,522,215,639,312,,0.55,right
82,person,0.35,,81,191,90,216,,0.35,left
82,car,0.29,,546,163,639,231,,0.29,right
82,person,0.29,,69,193,79,216,,0.29,left
83,car,0.9,,271,165,472,301,2,0.9,right
83,car,0.81,,518,162,639,313,,0.81,right
83,person,0.36,,81,191,91,216,,0.36,left
83,person,0.3,,69,193,79,216,,0.3,left
83,car,0.28,,518,212,639,312,,0.28,right
83,car,0.27,,542,162,639,230,,0.27,right
84,car,0.9,,271,165,472,301,2,0.9,right
84,car,0.85,,515,160,639,314,P,0.85,right
84,person,0.35,,81,191,91,216,,0.35,left
84,person,0.3,,69,193,79,216,,0.3,left
84,person,0.29,,103,193,112,213,,0.29,left
85,car,0.9,,271,165,472,301,2,0.9,right
85,car,0.85,,512,159,639,315,,0.85,right
85,person,0.37,,81,191,91,216,,0.37,left
85,person,0.31,,69,193,79,216,,0.31,left
85,person,0.31,,103,193,112,213,,0.31,left
86,car,0.9,,271,164,472,301,,0.9,right
86,car,0.83,,509,160,639,313,,0.83,right
86,person,0.38,,81,190,91,217,,0.38,left
86,person,0.31,,69,193,79,216,,0.31,left
86,person,0.31,,103,193,112,213,,0.31,left
86,car,0.26,,529,160,639,230,,0.26,right
87,car,0.9,,271,165,472,301,9,0.9,right
87,car,0.88,,507,159,639,312,,0.88,right
87,person,0.38,,81,190,91,217,,0.38,left
87,person,0.32,,103,194,111,214,,0.32,left
87,person,0.3,,69,194,79,216,,0.3,left
88,car,0.9,,271,165,472,301,3,0.9,right
88,car,0.89,,504,159,639,311,Y,0.89,right
88,person,0.38,,81,190,91,217,,0.38,left
88,person,0.32,,103,194,111,214,,0.32,left
88,person,0.3,,69,194,79,216,,0.3,left
89,car,0.9,,502,160,639,312,K,0.9,right
89,car,0.89,,271,164,472,301,,0.89,right
89,person,0.36,,81,190,91,217,,0.36,left
89,person,0.3,,69,194,79,216,,0.3,left
89,person,0.29,,103,194,111,214,,0.29,left
90,car,0.89,,271,164,472,301,,0.89,right
90,car,0.86,,497,161,639,312,,0.86,right
90,person,0.36,,81,190,91,217,,0.36,left
90,person,0.3,,69,194,79,216,,0.3,left
90,person,0.27,,103,194,111,214,,0.27,left
91,car,0.89,,271,165,472,301,,0.89,right
91,car,0.86,,493,162,639,313,LE,0.86,right
91,person,0.36,,82,190,91,217,,0.36,left
91,person,0.31,,69,194,79,216,,0.31,left
91,person,0.29,,103,194,111,214,,0.29,left
92,car,0.89,,271,165,472,301,A,0.89,right
92,car,0.83,,486,161,639,312,A,0.83,right
92,person,0.34,,82,190,91,217,,0.34,left
92,person,0.3,,69,194,79,216,,0.3,left
92,person,0.28,,103,194,111,214,,0.28,left
93,car,0.89,,271,165,472,300,A,0.89,right
93,car,0.84,,478,162,639,312,J,0.84,right
93,person,0.32,,82,190,91,217,,0.32,left
93,person,0.29,,69,194,79,216,,0.29,left
