frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
103,person,0.4,,70,192,79,214,,0.4,left
104,car,0.91,,271,166,472,301,M2867KHZ,0.91,right
104,car,0.71,,472,162,639,312,,0.71,right
104,person,0.46,,81,190,90,216,,0.46,left
104,person,0.4,,70,192,79,214,,0.4,left
105,car,0.91,,271,166,473,300,R2867KHZ,0.91,right
105,car,0.86,,472,162,639,312,,0.86,right
105,person,0.47,,81,190,90,216,,0.47,left
105,person,0.41,,70,191,79,214,,0.41,left
106,car,0.91,,271,166,472,300,A2867KHZ,0.91,right
106,car,0.85,,472,164,639,312,,0.85,right
106,person,0.44,,81,190,90,216,,0.44,left
106,person,0.41,,70,191,79,214,,0.41,left
107,car,0.9,,271,167,471,300,R2867KHZ,0.9,right
107,car,0.85,,468,163,639,312,,0.85,right
107,person,0.46,,81,190,91,216,,0.46,left
107,person,0.43,,70,191,79,214,,0.43,left
108,car,0.9,,271,167,471,300,R2867KHZ,0.9,right
108,car,0.87,,469,163,639,311,,0.87,right
108,person,0.46,,81,190,91,216,,0.46,left
108,person,0.42,,70,191,79,214,,0.42,left
109,car,0.9,,271,167,472,300,82867KHZ,0.9,right
109,car,0.9,,469,162,639,312,,0.9,right
109,person,0.44,,81,190,91,216,,0.44,left
109,person,0.41,,70,191,79,214,,0.41,left
110,car,0.9,,271,167,472,300,82867KHZ,0.9,right
110,car,0.9,,469,162,639,312,,0.9,right
110,person,0.44,,81,190,91,216,,0.44,left
110,person,0.41,,70,192,79,214,,0.41,left
111,car,0.91,,469,161,639,312,,0.91,right
111,car,0.9,,271,167,472,300,82867KHZ,0.9,right
111,person,0.41,,81,190,91,216,,0.41,left
111,person,0.39,,70,192,79,214,,0.39,left
112,car,0.91,,468,161,639,313,,0.91,right
112,car,0.9,,271,167,472,300,82867KHZ,0.9,right
112,person,0.39,,70,192,79,214,,0.39,left
112,person,0.35,,82,190,90,216,,0.35,left
113,car,0.92,,468,159,639,312,,0.92,right
113,car,0.9,,271,167,472,300,82867KHZ,0.9,right
113,person,0.4,,70,191,79,214,,0.4,left
113,person,0.33,,81,190,90,216,,0.33,left
114,car,0.91,,469,161,639,312,,0.91,right
114,car,0.9,,271,167,472,300,B2867KHZ,0.9,right
114,person,0.41,,70,191,80,214,,0.41,left
114,person,0.31,,82,190,90,216,,0.31,left
115,car,0.9,,271,167,472,301,B2867KHZ,0.9,right
115,car,0.9,,467,162,639,311,,0.9,right
115,person,0.42,,70,191,80,214,,0.42,left
115,person,0.3,,82,190,90,215,,0.3,left
116,car,0.91,,468,161,639,312,,0.91,right
116,car,0.91,,272,166,473,301,2867KHZ,0.91,right
116,person,0.41,,70,192,80,214,,0.41,left
116,person,0.29,,82,190,90,215,,0.29,left
117,car,0.91,,467,161,639,312,,0.91,right
117,car,0.91,,272,166,473,301,2867KHZ,0.91,right
117,person,0.41,,70,191,80,214,,0.41,left
117,person,0.29,,82,190,90,215,,0.29,left
118,car,0.91,,467,161,639,313,,0.91,right
118,car,0.91,,272,166,473,301,2867KHZ,0.91,right
118,person,0.41,,70,191,79,214,,0.41,left
118,person,0.28,,82,190,90,215,,0.28,left
119,car,0.92,,469,161,639,312,,0.92,right
119,car,0.9,,272,166,475,301,2867KHZ,0.9,right
119,person,0.4,,70,191,79,214,,0.4,left
119,person,0.29,,82,190,90,215,,0.29,left
120,car,0.91,,468,162,639,312,,0.91,right
120,car,0.9,,272,166,475,301,2867KHZ,0.9,right
120,person,0.4,,70,191,79,214,,0.4,left
120,person,0.3,,82,190,90,215,,0.3,left
121,car,0.92,,468,161,639,312,,0.92,right
121,car,0.9,,272,166,474,301,2867KH2,0.9,right
121,person,0.35,,70,192,79,214,,0.35,left
121,person,0.29,,82,190,90,215,,0.29,left
122,car,0.91,,469,161,639,312,,0.91,right
122,car,0.91,,272,166,474,301,2867KH2,0.91,right
122,person,0.4,,70,191,79,214,,0.4,left
122,person,0.3,,81,190,90,215,,0.3,left
123,car,0.92,,468,162,639,312,,0.92,right
123,car,0.91,,272,167,475,301,2867KHZ,0.91,right
123,person,0.39,,70,191,79,214,,0.39,left
123,person,0.3,,81,190,90,215,,0.3,left
124,car,0.91,,468,162,639,313,,0.91,right
124,car,0.91,,272,166,475,301,2867KHZ,0.91,right
124,person,0.41,,70,191,80,214,,0.41,left
124,person,0.28,,82,190,90,215,,0.28,left
125,car,0.92,,469,162,639,313,,0.92,right
125,car,0.91,,272,166,475,301,2867KHZ,0.91,right
125,person,0.41,,70,191,80,214,,0.41,left
125,person,0.28,,82,190,90,215,,0.28,left
126,car,0.92,,467,163,639,314,,0.92,right
126,car,0.91,,272,167,475,302,R2867KH2,0.91,right
126,person,0.41,,70,191,79,214,,0.41,left
126,person,0.28,,82,190,90,215,,0.28,left
127,car,0.92,,465,163,639,314,,0.92,right
127,car,0.92,,272,166,473,302,2867KHZ,0.92,right
127,person,0.43,,70,191,79,214,,0.43,left
127,person,0.34,,82,190,91,216,,0.34,left
128,car,0.92,,466,164,639,313,,0.92,right
128,car,0.91,,272,166,474,301,2867KH2,0.91,right
128,person,0.42,,70,191,79,214,,0.42,left
128,person,0.33,,82,190,90,215,,0.33,left
129,car,0.91,,466,164,639,313,,0.91,right
129,car,0.91,,272,166,474,301,2867KH2,0.91,right
129,person,0.42,,70,191,79,214,,0.42,left
129,person,0.33,,82,190,90,215,,0.33,left
130,car,0.92,,466,164,639,313,,0.92,right
130,car,0.92,,272,166,473,301,2867KH2,0.92,right
130,person,0.42,,70,191,79,214,,0.42,left
130,person,0.32,,82,190,90,215,,0.32,left
131,car,0.92,,466,163,639,313,,0.92,right
131,car,0.92,,272,166,474,301,2867KH2,0.92,right
131,person,0.42,,70,191,79,214,,0.42,left
131,person,0.32,,82,190,90,215,,0.32,left
132,car,0.93,,467,162,639,313,,0.93,right
132,car,0.92,,272,166,474,301,2867KH2,0.92,right
132,person,0.41,,70,191,80,214,,0.41,left
132,person,0.32,,82,190,90,215,,0.32,left
133,car,0.93,,466,162,639,312,,0.93,right
133,car,0.92,,272,166,473,301,2867KHZ,0.92,right
133,person,0.44,,70,191,80,214,,0.44,left
133,person,0.32,,82,190,90,215,,0.32,left
134,car,0.92,,272,166,474,301,2867KH2,0.92,right
