frame,license_plate,correct
513,2867KHZ,Yes
514,2867KHZ,Yes
515,2867KHZ,Yes
516,2867KHZ,Yes
517,2867KHZ,Yes
518,2867KHZ,Yes
519,2867KHZ,Yes
520,2867KHZ,Yes
521,2867KHZ,Yes
522,2867KHZ,Yes
523,2867KHZ,Yes
524,2867KHZ,Yes
525,2867KHZ,Yes
526,2867KHZ,Yes
527,2867KHZ,Yes
528,2867KHZ,Yes
529,2867KHZ,Yes
530,2867KHZ,Yes
531,2867KHZ,Yes
532,2867KHZ,Yes
533,2867KHZ,Yes
534,2867KHZ,Yes
535,2867KHZ,Yes
536,2867KHZ,Yes
537,2867KHZ,Yes
538,2867KHZ,Yes
539,L2867KHZ,Yes
540,2867KHZ,Yes
541,L2867KHZ,Yes
542,2867KHZ,Yes
543,42867KHZ,Yes
544,L2867KHZ,Yes
545,42867KHZ,Yes
546,L2867KHZ,Yes
547,2867KHZ,Yes
548,2867KHZ,Yes
549,2867KHZ,Yes
550,42867KHZ,Yes
551,42867KHZ,Yes
552,2867KHZ,Yes
553,2867KHZ,Yes
554,42867KHZ,Yes
555,42867KHZ,Yes
556,2867KHZ,Yes
557,2867KHZ,Yes
558,2867KHZ,Yes
559,2867KHZ,Yes
560,2867KHZ,Yes
561,2867KHZ,Yes
562,42867KHZ,Yes
563,2867KHZ,Yes
564,42867KHZ,Yes
565,42867KHZ,Yes
566,2867KHZ,Yes
567,2867KHZ,Yes
568,42867KHZ,Yes
569,42867KHZ,Yes
570,2867KHZ,Yes
571,2867KHZ,Yes
572,2867KHZ,Yes
573,42867KHZ,Yes
574,42867KHZ,Yes
575,42867KHZ,Yes
576,42867KHZ,Yes
577,2867KHZ,Yes
578,2867KHZ,Yes
579,2867KHZ,Yes
580,2867KHZ,Yes
581,2867KHZ,Yes
582,2867KHZ,Yes
583,2867KHZ,Yes
584,2867KHZ,Yes
585,2867KHZ,Yes
586,2867KHZ,Yes
587,2867KHZ,Yes
588,2867KHZ,Yes
